,x,y
519,12,-2
520,4,4
521,11,-2
522,5,4
523,11,-1
524,6,4
525,11,0
526,7,4
527,11,1
528,6,4
529,11,0
530,6,5
531,10,0
532,7,5
533,9,0
534,7,6
535,8,0
536,7,7
537,8,-1
538,7,6
539,9,-1
540,7,7
541,8,-1
542,8,7
543,9,-1
544,7,7
545,9,-2
546,7,8
547,9,-1
548,6,8
549,10,-1
550,5,8
551,11,-1
552,5,7
553,12,-1
554,4,7
555,11,-1
556,4,8
557,10,-1
558,4,9
559,10,0
560,4,8
561,10,1
562,4,7
563,11,1
564,5,7
565,10,1
566,6,7
567,10,2
568,5,7
569,11,2
570,5,8
571,10,2
572,6,8
573,9,2
574,7,8
575,8,2
576,8,8
577,8,3
578,8,9
579,7,3
580,8,8
581,8,3
582,7,8
583,8,2
584,7,7
585,8,1
586,6,7
587,8,2
588,7,7
589,9,2
590,7,6
591,9,3
592,7,5
593,9,2
594,7,6
595,9,1
596,7,5
597,10,1
598,6,5
599,9,1
600,5,5
601,8,1
602,5,6
603,7,1
604,5,5
605,6,1
606,5,6
607,5,1
608,4,6
609,5,0
610,4,5
611,5,-1
612,5,5
613,4,-1
614,5,4
615,4,0
616,5,3
617,4,1
618,6,3
619,4,2
620,7,3
621,4,1
622,8,3
623,3,1
624,7,3
625,4,1
626,7,4
627,5,1
628,7,5
629,5,0
630,7,4
631,6,0
632,7,5
633,5,0
634,8,5
635,5,-1
636,8,4
637,5,0
638,7,4
639,6,0
640,7,5
641,7,0
642,7,4
643,7,-1
644,7,3
645,6,-1
646,6,3
647,6,-2
648,5,3
649,5,-2
650,5,4
651,6,-2
652,5,5
653,6,-3
654,5,6
655,5,-3
656,5,5
657,5,-2
658,5,6
659,5,-3
660,6,6
661,5,-4
662,5,6
663,4,-4
664,6,6
665,3,-4
666,5,6
667,3,-5
668,5,7
669,3,-4
670,6,7
671,4,-4
672,6,6
673,4,-5
674,6,5
675,5,-5
676,6,4
677,6,-5
678,6,3
679,6,-6
680,6,4
681,5,-6
682,7,4
683,5,-5
684,6,4
685,5,-4
686,6,3
687,4,-4
688,5,3
689,3,-4
690,6,3
691,3,-3
692,6,2
693,3,-4
694,7,2
695,3,-5
696,7,1
697,4,-5
698,7,0
699,5,-5
700,7,1
701,5,-4
702,8,1
703,5,-3
704,8,2
705,5,-2
706,9,2
707,5,-1
708,8,2
709,5,0
710,9,2
711,6,0
712,9,1
713,6,-1
714,9,2
715,7,-1
716,8,2
717,7,-2
718,8,1
719,6,-2
720,7,1
721,7,-2
722,8,1
723,6,-2
724,8,0
725,7,-2
726,7,0
727,8,-2
728,8,0
729,9,-2
730,9,0
731,10,-2
732,9,1
733,10,-3
734,10,1
735,10,-2
736,10,2
737,10,-1
738,9,2
739,10,-2
740,10,2
741,9,-2
742,9,2
743,10,-2
744,10,2
745,11,-2
746,11,2
747,10,-2
748,10,2
749,10,-1
750,11,2
751,10,-2
752,10,2
753,9,-2
754,9,2
755,10,-2
756,9,3
757,11,-2
758,9,2
759,10,-2
760,9,3
761,10,-3
762,9,4
763,10,-2
764,9,3
765,11,-2
766,9,4
767,11,-3
768,8,4
769,10,-3
770,8,3
771,9,-3
772,9,3
773,9,-4
774,9,4
775,9,-3
776,10,4
777,9,-2
778,10,3
779,10,-2
780,10,2
781,10,-1
782,10,3
783,10,0
784,11,3
785,10,-1
786,12,3
787,10,-2
788,11,3
789,9,-2
790,10,3
791,8,-2
792,10,4
793,7,-2
794,9,4
795,7,-1
796,8,4
797,8,-1
798,7,4
799,8,0
800,6,4
801,9,0
802,5,4
803,9,-1
804,4,4
805,9,-2
806,4,3
807,9,-3
808,3,3
809,10,-3
810,3,4
811,10,-2
812,3,3
813,11,-2
814,2,3
815,12,-2
816,1,3
817,11,-2
818,1,2
819,11,-3
820,0,2
821,10,-3
822,-1,2
823,10,-4
824,-1,3
825,11,-4
826,-2,3
827,12,-4
828,-3,3
829,13,-4
830,-3,4
831,14,-4
832,-2,4
833,14,-3
834,-2,3
835,15,-3
836,-2,2
837,14,-3
838,-2,3
839,15,-3
840,-2,4
841,15,-2
842,-1,4
843,15,-1
844,-1,3
845,14,-1
846,-1,4
847,14,0
848,0,4
849,14,-1
850,0,5
851,15,-1
852,0,4
853,14,-1
854,0,3
855,13,-1
856,1,3
857,14,-1
858,1,2
859,15,-1
860,2,2
861,15,0
862,2,3
863,15,-1
864,1,3
865,15,0
866,1,2
867,15,1
868,1,3
869,16,1
870,1,4
871,15,1
872,0,4
873,15,2
874,0,5
875,15,3
876,1,5
877,15,4
878,0,5
879,14,4
880,-1,5
881,15,4
882,-1,6
883,16,4
884,-1,7
885,15,4
886,0,7
887,16,4
888,0,6
889,16,3
890,0,7
891,15,3
892,1,7
893,15,2
894,1,8
895,16,2
896,0,8
897,16,3
898,0,7
899,15,3
900,0,6
901,16,3
902,0,5
903,15,3
904,0,6
905,14,3
906,0,5
907,15,3
908,-1,5
909,15,4
910,-2,5
911,14,4
912,-1,5
913,13,4
914,0,5
915,12,4
916,-1,5
917,11,4
918,-2,5
919,10,4
920,-3,5
921,9,4
922,-3,6
923,9,3
924,-2,6
925,8,3
926,-2,5
927,9,3
928,-1,5
929,8,3
930,-2,5
931,8,2
932,-3,5
933,9,2
934,-4,5
935,8,2
936,-5,5
937,9,2
938,-6,5
939,8,2
940,-6,6
941,8,1
942,-7,6
943,7,1
944,-7,5
945,7,2
946,-6,5
947,7,3
948,-5,5
949,7,4
950,-5,6
951,8,4
952,-5,5
953,7,4
954,-6,5
955,8,4
956,-5,5
957,8,5
958,-4,5
959,7,5
960,-5,5
961,6,5
962,-4,5
963,5,5
964,-4,4
965,6,5
966,-4,5
967,6,6
968,-5,5
969,7,6
970,-4,5
971,7,7
972,-5,5
973,7,8
974,-5,6
975,6,8
976,-5,5
977,6,9
978,-5,4
979,5,9
980,-6,4
981,6,9
982,-6,3
983,6,8
984,-7,3
985,6,7
986,-8,3
987,6,8
988,-7,3
989,6,7
990,-7,4
991,6,6
992,-6,4
993,6,5
994,-6,3
995,6,4
996,-5,3
997,6,5
998,-5,2
999,7,5
1000,-4,2
